RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,0,98:4F:EE:0D:11:53,2020-06-23 12:38:01.735095,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-46
3bc2afc8-d924-472a-b617-8430d43f8aa3,0,98:4F:EE:0D:04:A4,2020-06-23 12:38:02.737854,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,1,98:4F:EE:0D:11:53,2020-06-23 12:38:03.740198,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-46
3bc2afc8-d924-472a-b617-8430d43f8aa3,1,98:4F:EE:0D:11:53,2020-06-23 12:38:04.742934,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-54
fdf89eab-93b1-4655-882c-540ec651a1c8,0,98:4F:EE:0D:04:8E,2020-06-23 12:38:04.744935,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,2,98:4F:EE:0D:04:8E,2020-06-23 12:38:04.747918,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-48
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,0,98:4F:EE:0D:04:A4,2020-06-23 12:38:05.531477,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-59
3bc2afc8-d924-472a-b617-8430d43f8aa3,2,98:4F:EE:0D:04:A4,2020-06-23 12:38:05.535488,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3,98:4F:EE:0D:04:A4,2020-06-23 12:38:06.538973,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-50
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,1,98:4F:EE:0D:04:A4,2020-06-23 12:38:07.409375,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-64
3bc2afc8-d924-472a-b617-8430d43f8aa3,3,98:4F:EE:0D:04:A4,2020-06-23 12:38:07.412396,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
fdf89eab-93b1-4655-882c-540ec651a1c8,1,98:4F:EE:0D:04:8E,2020-06-23 12:38:07.529576,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,4,98:4F:EE:0D:04:A4,2020-06-23 12:38:07.532096,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-50
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,2,98:4F:EE:0D:04:A4,2020-06-23 12:38:08.467398,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-59
3bc2afc8-d924-472a-b617-8430d43f8aa3,4,98:4F:EE:0D:11:53,2020-06-23 12:38:08.470384,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-52
fdf89eab-93b1-4655-882c-540ec651a1c8,2,98:4F:EE:0D:11:53,2020-06-23 12:38:08.472384,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-66
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,5,98:4F:EE:0D:04:A4,2020-06-23 12:38:08.475384,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-50
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3,98:4F:EE:0D:04:8E,2020-06-23 12:38:08.606611,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-54
3bc2afc8-d924-472a-b617-8430d43f8aa3,5,98:4F:EE:0D:04:A4,2020-06-23 12:38:08.609610,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
fdf89eab-93b1-4655-882c-540ec651a1c8,3,98:4F:EE:0D:04:8E,2020-06-23 12:38:08.612626,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,6,98:4F:EE:0D:04:A4,2020-06-23 12:38:08.615626,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-50
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,4,98:4F:EE:0D:0F:34,2020-06-23 12:38:08.620636,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
3bc2afc8-d924-472a-b617-8430d43f8aa3,6,98:4F:EE:0D:04:A4,2020-06-23 12:38:08.623633,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
fdf89eab-93b1-4655-882c-540ec651a1c8,4,98:4F:EE:0D:04:8E,2020-06-23 12:38:08.626633,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,7,98:4F:EE:0D:04:8E,2020-06-23 12:38:09.550571,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-53
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,5,98:4F:EE:0D:04:A4,2020-06-23 12:38:09.553570,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-66
3bc2afc8-d924-472a-b617-8430d43f8aa3,7,98:4F:EE:0D:04:A4,2020-06-23 12:38:09.556566,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
fdf89eab-93b1-4655-882c-540ec651a1c8,5,98:4F:EE:0D:0F:34,2020-06-23 12:38:09.558566,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-58
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,8,98:4F:EE:0D:04:A4,2020-06-23 12:38:09.561567,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-60
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,6,98:4F:EE:0D:04:8E,2020-06-23 12:38:09.564551,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-58
3bc2afc8-d924-472a-b617-8430d43f8aa3,8,98:4F:EE:0D:11:53,2020-06-23 12:38:10.469258,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-53
fdf89eab-93b1-4655-882c-540ec651a1c8,6,98:4F:EE:0D:0F:34,2020-06-23 12:38:10.471269,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-49
